-4,210,956,-0.234266,1970-01-01,08:03:28

-10,230,909,-0.611346,1970-01-01,08:03:28

-14,231,952,-0.819184,1970-01-01,08:03:28

-7,246,912,-0.424803,1970-01-01,08:03:29

-1,228,937,-0.059445,1970-01-01,08:03:29

2,230,907,0.122527,1970-01-01,08:03:29

20,187,914,1.228728,1970-01-01,08:03:29

8,167,934,0.483328,1970-01-01,08:03:29

5,179,938,0.300150,1970-01-01,08:03:29

8,182,955,0.471708,1970-01-01,08:03:29

0,183,922,0.000000,1970-01-01,08:03:29

32,184,967,1.862903,1970-01-01,08:03:29

7,217,910,0.428926,1970-01-01,08:03:29

5,231,952,0.292583,1970-01-01,08:03:30

-8,218,912,-0.489059,1970-01-01,08:03:30

1,206,952,0.058853,1970-01-01,08:03:30

-3,210,906,-0.184914,1970-01-01,08:03:30

7,210,937,0.417880,1970-01-01,08:03:30

9,222,908,0.551923,1970-01-01,08:03:30

15,215,934,0.897098,1970-01-01,08:03:30

11,218,918,0.668283,1970-01-01,08:03:30

12,211,948,0.708263,1970-01-01,08:03:30

9,222,919,0.545684,1970-01-01,08:03:31

12,212,933,0.718932,1970-01-01,08:03:31

17,214,920,1.031608,1970-01-01,08:03:31

22,217,936,1.312337,1970-01-01,08:03:31

21,224,919,1.272457,1970-01-01,08:03:31

4,205,929,0.241024,1970-01-01,08:03:31

17,215,929,1.021881,1970-01-01,08:03:31

29,194,924,1.760212,1970-01-01,08:03:31

30,201,928,1.810574,1970-01-01,08:03:31

24,205,937,1.434072,1970-01-01,08:03:32

34,204,936,2.033697,1970-01-01,08:03:32

31,199,942,1.845113,1970-01-01,08:03:32

23,221,924,1.387504,1970-01-01,08:03:32

13,234,937,0.771584,1970-01-01,08:03:32

13,225,928,0.780382,1970-01-01,08:03:32

19,235,924,1.142239,1970-01-01,08:03:32

22,215,938,1.310292,1970-01-01,08:03:32

19,231,931,1.135317,1970-01-01,08:03:32

11,235,934,0.654698,1970-01-01,08:03:32

10,241,928,0.597870,1970-01-01,08:03:33

19,231,920,1.148087,1970-01-01,08:03:33

22,239,914,1.334685,1970-01-01,08:03:33

0,238,937,0.000000,1970-01-01,08:03:33

-7,223,913,-0.426952,1970-01-01,08:03:33

-1,218,934,-0.059769,1970-01-01,08:03:33

-4,221,913,-0.244098,1970-01-01,08:03:33

6,206,952,0.353114,1970-01-01,08:03:33

24,206,942,1.426493,1970-01-01,08:03:33

22,205,919,1.339140,1970-01-01,08:03:33

36,193,945,2.138643,1970-01-01,08:03:34

36,201,929,2.170140,1970-01-01,08:03:34

35,209,934,2.095371,1970-01-01,08:03:34

39,213,923,2.358815,1970-01-01,08:03:34

39,211,938,2.324062,1970-01-01,08:03:34

25,213,929,1.503289,1970-01-01,08:03:34

36,199,935,2.157786,1970-01-01,08:03:34

30,180,931,1.813011,1970-01-01,08:03:34

16,171,964,0.936741,1970-01-01,08:03:34

7,181,925,0.425728,1970-01-01,08:03:35

36,168,950,2.138127,1970-01-01,08:03:35

4,198,920,0.243658,1970-01-01,08:03:35

-4,209,951,-0.235493,1970-01-01,08:03:35

-10,224,912,-0.610396,1970-01-01,08:03:35

-2,215,945,-0.118299,1970-01-01,08:03:35

-10,221,915,-0.608967,1970-01-01,08:03:35

-2,212,942,-0.118739,1970-01-01,08:03:35

-6,227,912,-0.365966,1970-01-01,08:03:35

-7,213,942,-0.415484,1970-01-01,08:03:35

-10,217,912,-0.611467,1970-01-01,08:03:36

-6,204,947,-0.355049,1970-01-01,08:03:36

-3,202,918,-0.182958,1970-01-01,08:03:36

1,186,958,0.058741,1970-01-01,08:03:36

7,182,917,0.429214,1970-01-01,08:03:36

22,188,940,1.315360,1970-01-01,08:03:36

44,178,951,2.605186,1970-01-01,08:03:36

25,192,917,1.529303,1970-01-01,08:03:36

11,186,947,0.653352,1970-01-01,08:03:36

6,197,922,0.364807,1970-01-01,08:03:37

13,202,942,0.773475,1970-01-01,08:03:37

13,215,914,0.793629,1970-01-01,08:03:37

22,201,942,1.309095,1970-01-01,08:03:37

3,215,922,0.181649,1970-01-01,08:03:37

16,195,942,0.953368,1970-01-01,08:03:37

9,209,901,0.557784,1970-01-01,08:03:37

-4,206,942,-0.237797,1970-01-01,08:03:37

10,215,909,0.613680,1970-01-01,08:03:37

26,201,943,1.545437,1970-01-01,08:03:37

10,205,919,0.608788,1970-01-01,08:03:38

33,201,949,1.949369,1970-01-01,08:03:38

32,197,937,1.915134,1970-01-01,08:03:38

33,173,949,1.960299,1970-01-01,08:03:38

30,167,928,1.823261,1970-01-01,08:03:38

137,159,996,7.739088,1970-01-01,08:03:38

48,166,961,2.819200,1970-01-01,08:03:38

7,140,854,0.463676,1970-01-01,08:03:38

3,228,934,0.178874,1970-01-01,08:03:38

-8,251,928,-0.477027,1970-01-01,08:03:38

4,226,957,0.233187,1970-01-01,08:03:39

0,192,954,0.000000,1970-01-01,08:03:39

33,195,938,1.973762,1970-01-01,08:03:39

-7,205,922,-0.424839,1970-01-01,08:03:39

0,189,937,0.000000,1970-01-01,08:03:39

1,161,920,0.061377,1970-01-01,08:03:39

4,145,964,0.235215,1970-01-01,08:03:39

17,193,931,1.024847,1970-01-01,08:03:39

-2,196,964,-0.116546,1970-01-01,08:03:39

-14,162,936,-0.844801,1970-01-01,08:03:40

10,196,931,0.602504,1970-01-01,08:03:40

-4,188,945,-0.237980,1970-01-01,08:03:40

-9,164,964,-0.527595,1970-01-01,08:03:40

-22,193,917,-1.345564,1970-01-01,08:03:40

0,211,929,0.000000,1970-01-01,08:03:40

-7,173,951,-0.415129,1970-01-01,08:03:40

-14,206,927,-0.845070,1970-01-01,08:03:40

-10,194,919,-0.610300,1970-01-01,08:03:40

-11,188,957,-0.646521,1970-01-01,08:03:40

-22,199,925,-1.332665,1970-01-01,08:03:41

-19,190,956,-1.117304,1970-01-01,08:03:41

-16,198,934,-0.960571,1970-01-01,08:03:41

-14,195,945,-0.831676,1970-01-01,08:03:41

-23,205,934,-1.378553,1970-01-01,08:03:41

-24,198,925,-1.454089,1970-01-01,08:03:41

-10,198,940,-0.596723,1970-01-01,08:03:41

-3,199,931,-0.180639,1970-01-01,08:03:41

-14,195,953,-0.824977,1970-01-01,08:03:41

-11,202,929,-0.663238,1970-01-01,08:03:41

-3,211,929,-0.180520,1970-01-01,08:03:42

-6,200,935,-0.359718,1970-01-01,08:03:42

-4,193,923,-0.243168,1970-01-01,08:03:42

-1,182,945,-0.059567,1970-01-01,08:03:42

-9,184,929,-0.544755,1970-01-01,08:03:42

-1,195,943,-0.059530,1970-01-01,08:03:42

7,176,962,0.410307,1970-01-01,08:03:42

6,196,922,0.364888,1970-01-01,08:03:42

0,197,955,0.000000,1970-01-01,08:03:42

-8,187,939,-0.478974,1970-01-01,08:03:43

0,205,918,0.000000,1970-01-01,08:03:43

-4,199,937,-0.239376,1970-01-01,08:03:43

1,173,928,0.060726,1970-01-01,08:03:43

1,177,957,0.058902,1970-01-01,08:03:43

7,199,947,0.414668,1970-01-01,08:03:43

1,206,931,0.060119,1970-01-01,08:03:43

0,177,948,0.000000,1970-01-01,08:03:43

5,170,928,0.303804,1970-01-01,08:03:43

8,196,929,0.483003,1970-01-01,08:03:43

20,168,971,1.163293,1970-01-01,08:03:44

8,182,921,0.488477,1970-01-01,08:03:44

14,204,924,0.848072,1970-01-01,08:03:44

5,186,939,0.299424,1970-01-01,08:03:44

5,169,924,0.305135,1970-01-01,08:03:44

1,173,909,0.061952,1970-01-01,08:03:44

-6,199,954,-0.352932,1970-01-01,08:03:44

0,181,934,0.000000,1970-01-01,08:03:44

13,185,955,0.766051,1970-01-01,08:03:44

15,212,922,0.908823,1970-01-01,08:03:44

16,208,928,0.964340,1970-01-01,08:03:45

7,218,918,0.425282,1970-01-01,08:03:45

7,187,922,0.426529,1970-01-01,08:03:45

9,181,942,0.537835,1970-01-01,08:03:45

16,225,928,0.960440,1970-01-01,08:03:45

20,188,953,1.180126,1970-01-01,08:03:45

29,198,935,1.738882,1970-01-01,08:03:45

19,214,929,1.142342,1970-01-01,08:03:45

